西银河电视,#genre#
CCTV1综合,http://jxcbn.ws-cdn.gitv.tv/hls/CCTV1HD/index.m3u8?gMac=unknown&livodToken=fe3da039246195078afada218148a91dbdd48acfd556f903681d08c9f103684b_1720897445_604800&fromCDN=ws
CCTV2财经,http://jxcbn.ws-cdn.gitv.tv/hls/CCTV2HD/index.m3u8?gMac=unknown&livodToken=7bd38e1678e01d65d18b5aca0c22a0bc7e3f4191739efbbeba33d83eb18aae6d_1720897484_604800&fromCDN=ws
CCTV3综艺,http://jxcbn.ws-cdn.gitv.tv/hls/CCTV3_HD/index.m3u8?gMac=unknown&livodToken=6c09bd31f06f4565834b24c6a0c1cc081bd0d1cbe44bbfe258ab60f39c58334a_1720897512_604800&fromCDN=ws
CCTV4中文国际,http://jxcbn.ws-cdn.gitv.tv/hls/CCTV4HD/index.m3u8?gMac=unknown&livodToken=bc681e07b21c58322e2901eecf34b08306285e5bf25089e5375d0e821faa6a6d_1720897549_604800&fromCDN=ws
CCTV5体育,http://jxcbn.ws-cdn.gitv.tv/hls/CCTV5_HD/index.m3u8?gMac=unknown&livodToken=7022ea17d3afd650b75287ccfa69918e3b9ef1b361af968933c104dae9ca4456_1720897584_604800&fromCDN=ws
CCTV6电影,http://jxcbn.ws-cdn.gitv.tv/hls/CCTV6_HD/index.m3u8?gMac=unknown&livodToken=2f5e205ddb00471900ed688a978404b565e825229e1cf313db39c0d1f737ebe5_1720897622_604800&fromCDN=ws
CCTV8电视剧,http://jxcbn.ws-cdn.gitv.tv/hls/CCTV8_HD/index.m3u8?gMac=unknown&livodToken=7a364e0ce2e70f4336345d823f08b15004ff1b252ac28c1f39900c45d95c7803_1720897665_604800&fromCDN=ws
CCTV9记录,http://jxcbn.ws-cdn.gitv.tv/hls/CCTV9HD/index.m3u8?gMac=unknown&livodToken=c62a764f49915ef078064a465ab26e6830020a5f43e4df745cb9df1e7936bb29_1720897704_604800&fromCDN=ws
CCTV10科教,http://jxcbn.ws-cdn.gitv.tv/hls/CCTV10HD/index.m3u8?gMac=unknown&livodToken=4293b67525a06d75e5716906d9556fc7331c9ef821d9fddb4ec1f7d55bc3fefd_1720897745_604800&fromCDN=ws
CCTV11戏曲,http://jxcbn.ws-cdn.gitv.tv/hls/CCTV11HD/index.m3u8?gMac=unknown&livodToken=e6744f5a2e4d38bbc558cacbc20d8f75d23177cfe27bc45c42a6ffcda3d2ec93_1720897776_604800&fromCDN=ws
